,Star_name,Distance,Mass,Radius,Gravity
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,2.7993472448093697e-10
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,2.526240196535285e-10
156,SDSS J074201.41+205520.5 [de],49.0,0.041047283999999996,0.09659722,2.935900768946412e-10
157,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,4.037499891060344e-10
158,2MASS J07522390+1612157,60.0,0.001918722,6.987883999999998,2.6224479883445267e-15
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,3.004177531014934e-10
160,2MASS J08251968+2115521 [de],35.0,0.049638576,0.10070774,3.266478594455183e-10
161,SDSSp J083008.12+482847.4 [de],43.0,0.04582022400000002,0.10173537,2.954605299724289e-10
162,LHS 2021,55.0,0.084003744,0.11817745,4.014353521973225e-10
163,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865248,3.011230425707775e-10
164,2MASSI J0835425-081923 [de],23.53,0.059184455999999996,0.102763,3.740419511752212e-10
165,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,3.861078205679703e-10
166,2MASS J08533619-0329321,27.6,0.07350327599999999,0.10995641,4.0574370828966633e-10
167,2MASSI J0859254-194926 [de],50.0,0.047729400000000005,0.10070774,3.140844802360753e-10
168,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659722,2.867624006877892e-10
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,2.1391014989915248e-10
170,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865248,3.207615018688717e-10
171,2MASS J10073369-4555147,46.0,0.042001872,0.09659722,3.004177531014934e-10
172,2MASSI J1010148-040649 [de],55.0,0.048683988,0.10070774,3.2036616984079674e-10
173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,8.193211448222545e-11
174,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968011,3.1418195357886294e-10
175,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659722,2.867624006877892e-10
176,DEN 1048-3956,13.15,0.07350327599999999,0.10995641,4.0574370828966633e-10
177,Luhman 16B,6.516,0.041047283999999996,0.10481826,2.4934274504431467e-10
178,Luhman 16A,6.516,0.03818352,0.10379063,2.365624819674359e-10
179,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,3.861078205679703e-10
180,TWA 28,180.0,0.034365168,0.24560357,3.802203201440508e-11
181,Cha 110913-773444,163.0,0.007636704,0.1849734,1.4896135052776624e-11
182,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,3.531244294183845e-11
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,2.16023052279036e-10
184,TWA 26,137.0,0.02863764,0.2260786,3.739422332463553e-11
185,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,9.920825945149236e-11
186,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,3.861078205679703e-10
187,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,3.507400220182863e-11
188,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659722,2.867624006877892e-10
189,2M 1237+6526,45.6,0.039138108,0.09659722,2.7993472448093697e-10
190,TWA 29,262.0,0.001909176,2.569075,1.9305391028398502e-14
191,SDSSp J125453.90-012247.4 [de],38.0,0.04486563599999999,0.10070774,2.9523941142191067e-10
192,Kelu-1A,61.0,0.060139044,0.10070774,3.957464450974549e-10
193,Kelu-1B,61.0,0.055366104000000006,0.10070774,3.643379970738472e-10
194,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,3.9624215729545515e-10
195,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.09968011,3.2700570678616345e-10
196,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659722,3.004177531014934e-10
197,2MASS J13595510-4034582,51.0,0.060139044,0.102763,3.800748858715957e-10
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,2.0947689917967132e-10
199,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173537,3.6317023475777723e-10
200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,7.271098979790246e-11
201,LHS 2924,38.5,0.072548688,0.10892878,4.0806607059849116e-10
202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,4.0943660867090814e-10
203,LSPM J1440+1339,72.0,0.087822096,0.12228797,3.9194265381431903e-10
204,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173537,3.6317023475777723e-10
205,CFBDSIR 1458+10A,104.0,0.010595927,0.1541445,2.9762478397219754e-11
206,CFBDSIR 1458+10B,104.0,0.008591292,0.1335919,3.21280545960774e-11
207,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,4.104037208418049e-10
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,3.004177531014934e-10
209,CFBDS J150411+102717,71.0,0.042001872,0.09659722,3.004177531014934e-10
210,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,4.0010812576878393e-10
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,3.6932566246553616e-10
212,TVLM 868-110639,53.0,0.075412452,0.11098404,4.0860926012824775e-10
213,2MASSW J1515008+484742 [de],34.0,0.05441151599999999,0.10173537,3.508593793422593e-10
214,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070774,3.3921123865496126e-10
215,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,3.800748858715957e-10
216,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659722,3.004177531014934e-10
217,2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695109,8.850703745475867e-11
218,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,4.037499891060344e-10
219,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659722,2.867624006877892e-10
220,SDSSp J162414.37+002915.6 [de],36.0,0.041047283999999996,0.09659722,2.935900768946412e-10
221,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,4.037499891060344e-10
222,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968011,3.1418195357886294e-10
223,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659722,2.7993472448093697e-10
224,LSPM J1658+7027 [de],60.0,0.06968492400000001,0.10687352,4.071784697072309e-10
225,2MASSI J1726000+153819,114.0,0.022910112000000003,0.1438682,7.38726697515249e-11
226,SDSSp J175032.96+175903.9,90.0,0.04486563599999999,0.09968011,3.0135820037156237e-10
227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,3.008111482956832e-10
228,LSR J1835+3259,18.5,0.07350327599999999,0.10995641,4.0574370828966633e-10
